,date,ticker,data.open,data.high,data.low,data.close,data.volume,data.is_extended_hours
826,2021-11-19T14:00:00.000Z,AAPL,160.69,160.84,160.3,160.5,294831,False
827,2021-11-19T13:00:00.000Z,AAPL,160.29,160.72,159.78,160.7,310009,False
828,2021-11-19T12:00:00.000Z,AAPL,159.86,160.34,159.7,160.28,196182,False
829,2021-11-19T11:00:00.000Z,AAPL,158.99,160.11,158.86,159.85,289392,False
830,2021-11-19T10:00:00.000Z,AAPL,158.95,159.18,158.07,158.99,330546,False
831,2021-11-19T09:00:00.000Z,AAPL,157.56,159.01,156.56,158.95,258559,False
832,2021-11-18T16:00:00.000Z,AAPL,157.88,157.88,157.88,157.88,250,False
833,2021-11-18T15:00:00.000Z,AAPL,157.66,158.67,157.61,157.86,444858,False
834,2021-11-18T14:00:00.000Z,AAPL,157.49,158.39,157.38,157.64,274046,False
835,2021-11-18T13:00:00.000Z,AAPL,157.2,157.77,156.7,157.53,485685,False
836,2021-11-18T12:00:00.000Z,AAPL,154.69,157.86,154.54,157.22,560648,False
837,2021-11-18T11:00:00.000Z,AAPL,154.15,154.87,153.89,154.64,107146,False
838,2021-11-18T10:00:00.000Z,AAPL,154.41,154.58,153.62,154.16,143859,False
839,2021-11-18T09:00:00.000Z,AAPL,153.74,154.61,153.06,154.4,101192,False
840,2021-11-17T16:00:00.000Z,AAPL,153.6,153.6,153.6,153.6,600,False
841,2021-11-17T15:00:00.000Z,AAPL,154.09,154.27,153.35,153.54,272433,False
842,2021-11-17T14:00:00.000Z,AAPL,154.31,154.54,153.79,154.12,74406,False
843,2021-11-17T13:00:00.000Z,AAPL,154.04,154.53,153.75,154.31,85887,False
844,2021-11-17T12:00:00.000Z,AAPL,154.99,155.0,153.77,153.98,248021,False
845,2021-11-17T11:00:00.000Z,AAPL,152.62,154.99,152.62,154.99,436338,False
846,2021-11-17T10:00:00.000Z,AAPL,152.07,152.78,152.06,152.6,223673,False
847,2021-11-17T09:00:00.000Z,AAPL,151.03,152.78,151.02,152.11,188825,False
848,2021-11-16T15:00:00.000Z,AAPL,151.03,151.25,150.82,151.0,140212,False
849,2021-11-16T14:00:00.000Z,AAPL,151.38,151.47,150.94,151.05,65319,False
850,2021-11-16T13:00:00.000Z,AAPL,151.11,151.46,151.0,151.4,130798,False
